"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.389833332E-3,-2.427388255E-1,8.291614920E-2,-2.498754984E-1,3.580991342E-1
1.838983333E-2,-6.744156606E-2,2.728565177E-1,-3.082155079E-1,4.171280899E-1
2.838983333E-2,-1.582380809E-2,2.303558846E-1,-3.068267941E-1,3.840011824E-1
3.838883333E-2,7.617197067E-2,2.169318469E-1,-3.557229656E-1,4.235568717E-1
4.838883333E-2,6.179469064E-2,1.981864044E-1,-3.827540588E-1,4.354274960E-1
5.838883333E-2,-1.510847434E-3,2.000833873E-1,-3.258489561E-1,3.823783293E-1
6.838783333E-2,-4.970725335E-2,1.796282190E-1,-2.553362131E-1,3.161229030E-1
7.838783333E-2,-4.132885113E-3,1.547120637E-1,-3.260582864E-1,3.609250747E-1
8.838783333E-2,5.330508169E-2,1.394867912E-1,-5.243426317E-1,5.451909684E-1
9.838683334E-2,1.591235686E-1,1.677620257E-1,-7.642234844E-1,7.984371869E-1
1.083868333E-1,2.740513232E-1,2.505027585E-1,-1.019183137E0,1.084707346E0
1.183868333E-1,3.660418394E-1,3.120818330E-1,-1.266161925E0,1.354454768E0
1.283858333E-1,4.593058062E-1,4.610383362E-1,-1.525885888E0,1.658868866E0
1.383858333E-1,5.378304771E-1,5.316130596E-1,-1.907230768E0,2.051683034E0
1.483858333E-1,5.444487944E-1,4.731385642E-1,-2.215863183E0,2.330307755E0
1.583848333E-1,5.878444169E-1,5.159289269E-1,-2.038640508E0,2.183528987E0
1.683848333E-1,5.290809229E-1,5.036186376E-1,-1.516837322E0,1.683553925E0
1.783848333E-1,9.802615113E-1,5.488649771E-1,-8.331212264E-1,1.398662351E0
1.883838333E-1,1.423953278E0,7.485092385E-1,1.585045677E-1,1.616487772E0
1.983838333E-1,1.364230841E0,8.637540583E-1,1.716275908E0,2.356437958E0
2.083828333E-1,8.313395798E-1,1.081508901E0,3.383096650E0,3.647756837E0
2.183828333E-1,2.997424538E-1,1.462571653E0,4.642488084E0,4.876644029E0
2.283828333E-1,-3.405924546E-1,1.731365232E0,5.606437252E0,5.877564755E0
2.383818333E-1,-1.091724571E0,1.821538507E0,6.102326163E0,6.461288546E0
2.483818333E-1,-1.751383614E0,1.936309410E0,6.450794488E0,6.959122662E0
2.583818333E-1,-1.866291926E0,1.929280180E0,6.857529148E0,7.364161431E0
2.683808333E-1,-1.689453268E0,1.813411608E0,7.241377805E0,7.653774659E0
2.783798750E-1,-1.429026615E0,1.713936437E0,8.020322240E0,8.324978319E0
2.883798750E-1,-1.205124521E0,1.401203955E0,8.397499225E0,8.598470263E0
2.983788750E-1,-8.649495947E-1,1.030943642E0,8.541515561E0,8.646876354E0
3.083788750E-1,-6.204666909E-1,8.420218581E-1,8.370068766E0,8.435166322E0
3.183788750E-1,-3.648786090E-1,4.267365226E-1,7.962804934E0,7.982574953E0
3.283778750E-1,-5.482655918E-2,9.677185759E-2,7.588722880E0,7.589537911E0
3.383778750E-1,3.802543376E-1,-2.215931010E-1,7.006551286E0,7.020360232E0
3.483778750E-1,6.185382792E-1,-3.972769345E-1,6.127716528E0,6.171655241E0
3.583768750E-1,6.524201895E-1,-5.562770538E-1,5.114760675E0,5.186123121E0
3.683768750E-1,7.684958256E-1,-5.294960752E-1,4.150905063E0,4.254522860E0
3.783768750E-1,1.010412240E0,-8.124549736E-1,3.569462031E0,3.797640737E0
3.883758750E-1,9.287244449E-1,-1.335615591E0,3.246751276E0,3.631499958E0
3.983758750E-1,8.606716986E-1,-2.004688358E0,3.230741014E0,3.898361026E0
4.083758750E-1,6.275137552E-1,-2.659496112E0,3.153475907E0,4.172661426E0
4.183748750E-1,5.550428162E-1,-2.834595078E0,3.428938236E0,4.483371411E0
4.283748750E-1,2.641724523E-1,-3.005878735E0,3.779602191E0,4.836371241E0
4.383748750E-1,-7.434738357E-2,-3.365953199E0,3.241471825E0,4.673575511E0
4.483738750E-1,-5.448243318E-1,-3.380872369E0,2.657745456E0,4.334828997E0
4.583738750E-1,-1.085360900E0,-3.376094609E0,1.738892353E0,3.949654379E0
4.683738750E-1,-1.107878016E0,-3.426320145E0,6.666135746E-1,3.662162899E0
4.783728750E-1,-1.173472154E0,-3.241209577E0,-2.447825736E-1,3.455777037E0
4.883728750E-1,-1.171922423E0,-3.171811313E0,-1.153752712E0,3.572804850E0
4.983718750E-1,-1.032633048E0,-3.069314301E0,-1.875219601E0,3.742121035E0
5.083718750E-1,-6.673017188E-1,-2.884834647E0,-2.194167089E0,3.685367246E0
5.183718750E-1,-5.218066212E-1,-2.761921204E0,-2.669208922E0,3.876231050E0
5.283708750E-1,-6.479896080E-1,-2.614823677E0,-3.181826717E0,4.169078393E0
5.383708750E-1,-5.996095996E-1,-2.420819493E0,-3.603755951E0,4.382574089E0
5.483708750E-1,-4.552562439E-1,-2.428407133E0,-4.086111481E0,4.775010627E0
