"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.699354166E-2,-8.627303571E-2,7.240235844E-1,-1.302027576E0,1.492289850E0
2.699354167E-2,2.540048021E-1,7.670982680E-1,-5.704216146E-1,9.891102116E-1
3.699254166E-2,4.297340977E-1,6.375330323E-1,-3.818991959E-1,8.584676801E-1
4.699254167E-2,4.393425348E-1,7.286639348E-1,-1.208075684E-1,8.593994772E-1
5.699254166E-2,5.271302918E-1,7.933768246E-1,2.689859533E-1,9.897810734E-1
6.699254167E-2,6.164339393E-2,7.374932304E-1,4.398948044E-1,8.609318276E-1
7.699254167E-2,1.495562813E-1,7.204281315E-1,2.924730492E-1,7.917854876E-1
8.699254166E-2,8.627119383E-1,4.451999831E-1,-1.956530982E-1,9.903307772E-1
9.699254167E-2,8.671944138E-1,4.488001138E-1,-7.909932071E-1,1.256629598E0
1.069925417E-1,3.212515828E-1,7.286221272E-1,-1.119609650E0,1.373906312E0
1.169915417E-1,-1.487803558E-1,9.106225616E-1,-1.107635722E0,1.441605333E0
1.269915417E-1,-2.054017223E-1,8.857102069E-1,-6.479223651E-1,1.116456819E0
1.369915417E-1,1.116293402E-1,6.803264648E-1,5.543979049E-2,6.916493177E-1
1.469915417E-1,1.643438897E-1,5.784574431E-1,5.050380492E-1,7.852931674E-1
1.569915417E-1,5.357862175E-2,7.688536021E-1,5.943384808E-1,9.732649999E-1
1.669915417E-1,-2.040546700E-2,9.211072040E-1,4.717428339E-1,1.035082685E0
1.769915417E-1,3.948712438E-2,7.868872923E-1,3.333538574E-1,8.554973045E-1
1.869905417E-1,2.381905688E-1,5.873647991E-1,2.044554967E-1,6.659836367E-1
1.969905417E-1,3.580660911E-1,6.010057685E-1,1.122817433E-1,7.085382482E-1
2.069905417E-1,2.878920481E-1,6.925953850E-1,4.933471262E-2,7.516675545E-1
2.169905417E-1,1.633207731E-1,7.617714545E-1,-1.063023806E-3,7.790831495E-1
2.269905417E-1,9.099656269E-2,8.454951042E-1,-8.566521764E-2,8.546817391E-1
2.369905417E-1,-6.313180268E-2,9.503008899E-1,-1.722542953E-1,9.678475852E-1
2.469905417E-1,-8.599178463E-2,1.081233789E0,-1.924511629E-1,1.101589100E0
2.569905417E-1,2.163235903E-2,1.045354689E0,-1.745101511E-1,1.060041593E0
2.669895417E-1,7.717228308E-2,8.865334949E-1,-2.651104188E-1,9.285368776E-1
2.769895417E-1,1.753316849E-1,8.804760718E-1,-5.129177570E-1,1.033955482E0
2.869895417E-1,1.257236150E-1,9.868971509E-1,-7.318287402E-1,1.235048873E0
2.969895417E-1,1.159711902E-1,9.690657744E-1,-7.881169617E-1,1.254458504E0
3.069895417E-1,1.968625948E-1,8.363202381E-1,-7.317310917E-1,1.128546327E0
3.169895417E-1,3.084803867E-1,7.447279903E-1,-6.173361647E-1,1.015324514E0
3.269895417E-1,4.326004028E-1,7.331168818E-1,-5.108466733E-1,9.927576716E-1
3.369885417E-1,4.162897409E-1,7.917814118E-1,-5.095690566E-1,1.029502587E0
3.469885417E-1,2.997553177E-1,8.613512912E-1,-5.413399029E-1,1.060579176E0
3.569885417E-1,2.352083427E-1,9.268243191E-1,-5.736527860E-1,1.115080177E0
3.669885417E-1,6.632569805E-2,9.424869633E-1,-6.330961651E-1,1.137317690E0
3.769885417E-1,-2.177006096E-2,9.763119364E-1,-6.327020627E-1,1.163602524E0
3.869885417E-1,3.626296967E-3,1.012345988E0,-5.629401022E-1,1.158343260E0
3.969885417E-1,-9.777714014E-3,1.063650627E0,-4.698541832E-1,1.162846169E0
4.069875417E-1,-1.106035924E-1,1.160046363E0,-2.636509538E-1,1.194760454E0
4.169875417E-1,-1.506121422E-1,1.318117944E0,-8.497056842E-2,1.329413002E0
4.269875417E-1,1.368833184E-3,1.296115456E0,-1.544366598E-1,1.305284579E0
4.369875417E-1,3.972684561E-1,9.553853363E-1,-6.761977458E-1,1.236052895E0
4.469875417E-1,7.460323580E-1,7.889908281E-1,-1.140632730E0,1.574837715E0
4.569875417E-1,6.924838494E-1,9.717952546E-1,-1.100934813E0,1.623569327E0
4.669875417E-1,4.611184430E-1,1.216533682E0,-7.956996310E-1,1.525031908E0
4.769865417E-1,1.985274433E-1,1.318920182E0,-5.290613347E-1,1.434876123E0
4.869865417E-1,-3.914725497E-2,1.335775658E0,-3.123266852E-1,1.372361860E0
4.969865417E-1,-1.323773079E-1,1.288216160E0,-4.452596247E-2,1.295765098E0
5.069865417E-1,-1.122576235E-1,1.172765518E0,3.695147932E-1,1.234715318E0
5.169865417E-1,-6.633651540E-2,1.110454080E0,6.425546211E-1,1.284673203E0
5.269865417E-1,7.003575638E-2,1.089677169E0,6.327716446E-1,1.262022699E0
5.369865417E-1,2.219759475E-1,1.018438202E0,4.672755611E-1,1.142294245E0
5.469855417E-1,1.069753951E-1,1.003542712E0,3.696481097E-1,1.074793671E0
5.569855417E-1,-1.822800775E-1,1.098899982E0,3.568152255E-1,1.169668458E0
5.669855417E-1,-4.048797767E-1,1.129125701E0,4.910462469E-1,1.296140000E0
5.769855417E-1,-5.000158757E-1,1.026342468E0,7.674002767E-1,1.375608201E0
5.869855417E-1,-4.648030660E-1,9.204160631E-1,1.031158234E0,1.458250638E0
5.969855417E-1,-4.140613671E-1,8.534128189E-1,1.085525061E0,1.441570294E0
6.069855417E-1,-4.033283642E-1,9.789782667E-1,8.806076342E-1,1.377149963E0
6.169845417E-1,-3.490311196E-1,1.237913441E0,4.080362499E-1,1.349350211E0
6.269845417E-1,-2.805391744E-1,1.078643180E0,-6.955730796E-2,1.116696717E0
6.369845417E-1,-1.877404998E-1,7.533333376E-1,-2.103851581E-1,8.043752405E-1
6.469845417E-1,-1.560762191E-1,6.050935569E-1,-7.946015239E-2,6.299300871E-1
6.569845417E-1,-1.197989237E-1,6.384826201E-1,8.646277785E-2,6.553530730E-1
6.669845417E-1,-1.070310898E-1,6.629847926E-1,3.007667398E-1,7.358431363E-1
6.769845417E-1,-1.574889064E-1,5.323910317E-1,5.475590014E-1,7.797844743E-1
6.869835417E-1,-2.949244943E-1,2.971078447E-1,6.716222996E-1,7.914101604E-1
6.969835417E-1,-5.407797396E-1,4.555448771E-2,6.916303021E-1,8.791304868E-1
7.069835417E-1,-7.232738252E-1,-3.594488114E-2,6.698663807E-1,9.864775865E-1
7.169835417E-1,-7.379485823E-1,-2.669078529E-2,7.217452168E-1,1.032567996E0
7.269835417E-1,-6.588706917E-1,-1.360328409E-1,8.259823608E-1,1.065299199E0
7.369829167E-1,-5.411473833E-1,-3.571280515E-1,1.046796028E0,1.231325651E0
7.469829167E-1,-4.050746351E-1,-4.482519373E-1,1.423109964E0,1.546045675E0
7.569819167E-1,-1.028525233E-2,-6.847165543E-1,1.380177367E0,1.540724541E0
7.669819167E-1,2.907886125E-1,-6.775806123E-1,1.016567677E0,1.255819790E0
